seed,IGD,HV
0,22.30494691374024,0.0
1,22.161840154915723,0.0
2,16.455205811826666,0.0
3,20.616669177192424,0.0
4,12.94435384521374,0.0
5,19.46886892804148,0.0
6,14.426807269860207,0.0
7,17.310623166397598,0.0
8,13.732605823913552,0.0
9,13.300943981883231,0.0
10,21.131274010266356,0.0
11,20.521072435362136,0.0
12,18.261913165177912,0.0
13,21.82440440068504,0.0
14,19.059030992769678,0.0
15,16.071927001978874,0.0
16,22.168424200343274,0.0
17,19.72296476722535,0.0
18,17.341564759554203,0.0
19,16.205362186605544,0.0
20,15.124870809144557,0.0
21,11.01123717812667,0.0
22,18.144223347576144,0.0
23,19.000675790263447,0.0
24,16.188119582725975,0.0
25,13.815166356739212,0.0
26,17.15232502949793,0.0
27,19.05786561397391,0.0
28,18.473315077536693,0.0
29,18.375258249675642,0.0
